1,"Mama, There Goes That Man",,0.516,0.7862,34,182,111,46,26,59,600,,35,3
2,Dead Last Bricks,,0.4308,0.6992,28,223,133,40,34,81,501,,37,1
3,Team Schaeffer,,0.4609,0.7333,25,218,142,32,38,84,571,,37,0
4,West Wing Sanchise,,0.4719,0.7258,27,196,122,36,35,60,453,,35,5
5,Team Rome,,0.4789,0.7518,37,162,108,36,16,67,458,,31,0
6,HuntingtonBeach Pigeons,,0.4122,0.7941,29,195,90,29,33,84,474,,32,0
7,OC GPC,,0.4248,0.7362,15,200,87,37,26,65,457,,33,1
8,Team PPL,,0.4526,0.7953,23,168,112,20,13,73,468,,30,0
9,*** Skillz***,,0.4569,0.7168,27,156,80,29,12,70,468,,30,5
10,Please Qualify 2,,0.4286,0.6957,12,146,67,35,20,54,304,,26,0
