1,"Mama, There Goes That Man",,0.5069,0.8706,27,131,74,27,16,40,393,,24,3
2,Team Schaeffer,,0.4603,0.7458,22,158,104,27,22,58,446,,26,0
3,West Wing Sanchise,,0.441,0.7222,14,128,80,22,26,38,281,,24,1
4,Team Rome,,0.4722,0.7563,29,108,79,21,12,47,357,,21,0
4,Dead Last Bricks,,0.434,0.7073,17,144,82,31,23,60,325,,24,0
6,HuntingtonBeach Pigeons,,0.4032,0.7815,18,124,51,20,15,52,311,,20,0
7,Team PPL,,0.444,0.7606,16,97,66,16,7,42,284,,18,0
8,OC GPC,,0.4144,0.7722,9,105,48,18,15,40,254,,21,1
9,Please Qualify 2,,0.4231,0.6949,7,105,50,21,12,39,202,,18,0
10,*** Skillz***,,0.4524,0.6875,12,90,35,16,7,41,246,,16,2
