1,Team Schaeffer,,0.4559,0.7669,24,182,121,29,29,68,498,,32,0
2,"Mama, There Goes That Man",,0.5176,0.8351,29,143,77,36,19,43,434,,26,3
3,Team Rome,,0.469,0.7578,33,130,91,29,15,59,402,,25,0
4,Dead Last Bricks,,0.4309,0.72,23,167,115,35,26,73,413,,30,1
5,West Wing Sanchise,,0.4511,0.7292,18,154,91,27,27,43,328,,27,2
6,HuntingtonBeach Pigeons,,0.4181,0.781,24,147,58,23,22,62,371,,24,0
7,OC GPC,,0.4248,0.7667,10,152,59,26,20,48,328,,25,1
8,Team PPL,,0.4545,0.7573,19,132,88,19,12,62,397,,25,0
9,*** Skillz***,,0.4375,0.7093,17,121,59,22,11,57,330,,22,4
10,Please Qualify 2,,0.4131,0.6753,8,109,52,27,14,44,236,,20,0
