1,Team Schaeffer,,0.4416,0.7547,12,79,60,17,10,33,226,,14,0
2,Dead Last Bricks,,0.475,0.7143,12,73,46,18,10,36,194,,12,0
3,West Wing Sanchise,,0.4955,0.7636,10,59,43,9,11,17,162,,13,1
3,HuntingtonBeach Pigeons,,0.45,0.746,12,75,30,13,12,24,167,,11,0
5,Team Rome,,0.4641,0.7246,17,60,44,15,5,28,209,,12,0
6,OC GPC,,0.4228,0.7368,4,77,32,10,13,24,172,,13,1
7,"Mama, There Goes That Man",,0.4953,0.8485,8,54,24,9,5,16,142,,8,2
7,Team PPL,,0.4172,0.7955,10,56,44,12,2,26,181,,11,0
9,Please Qualify 2,,0.5119,0.7273,6,46,31,10,8,18,116,,9,0
10,*** Skillz***,,0.4186,0.7419,6,54,20,9,4,19,137,,8,2
