1,"Mama, There Goes That Man",,0.511,0.7742,36,210,140,53,32,73,666,,42,3
2,West Wing Sanchise,,0.4615,0.7153,29,248,159,41,41,74,528,,42,5
2,Team Schaeffer,,0.4553,0.7515,31,232,166,37,38,89,613,,40,0
4,Dead Last Bricks,,0.4425,0.7051,31,263,153,51,39,93,595,,44,1
5,Team Rome,,0.4987,0.7606,44,185,114,39,19,80,522,,34,0
6,HuntingtonBeach Pigeons,,0.4072,0.7917,34,229,103,36,35,94,546,,38,0
7,Team PPL,,0.4379,0.8089,24,220,146,27,15,89,567,,38,0
8,OC GPC,,0.4227,0.7486,17,217,95,40,32,72,498,,37,1
9,*** Skillz***,,0.4474,0.7287,33,177,87,31,15,76,535,,34,5
10,Please Qualify 2,,0.4373,0.6842,15,155,74,35,20,59,338,,28,0
