1,Team Schaeffer,,0.4698,0.7556,15,121,78,22,17,43,347,,20,0
2,"Mama, There Goes That Man",,0.5281,0.8833,19,81,45,15,7,27,260,,15,3
3,Dead Last Bricks,,0.4691,0.7213,13,91,52,22,16,42,239,,15,0
4,West Wing Sanchise,,0.4453,0.75,10,78,52,13,14,21,177,,16,1
5,Team Rome,,0.4667,0.7125,18,73,58,18,6,38,243,,14,0
6,Team PPL,,0.4211,0.7705,13,83,50,14,6,35,236,,15,0
6,HuntingtonBeach Pigeons,,0.4132,0.7582,13,100,37,13,13,30,220,,14,0
8,OC GPC,,0.4228,0.7368,4,77,32,10,13,24,172,,13,1
9,Please Qualify 2,,0.439,0.7105,7,54,40,14,9,26,142,,12,0
10,*** Skillz***,,0.4074,0.6829,10,69,28,10,4,33,170,,12,2
